"STUID","PROGRAM","TERM","EVENT_TYPE"
"STU0202","Business",1,"LOA"
"STU0203","Liberal Arts",1,"PROBATION"
"STU0203","Liberal Arts",4,"ADVISING_FLAG"
"STU0205","Engineering",1,"PROBATION"
"STU0205","Engineering",2,"PROBATION"
"STU0205","Engineering",2,"DISMISSAL"
"STU0209","Engineering",8,"ADVISING_FLAG"
"STU0211","Business",1,"ADVISING_FLAG"
"STU0211","Business",5,"ADVISING_FLAG"
"STU0211","Business",6,"ADVISING_FLAG"
"STU0213","Engineering",1,"WITHDRAWAL"
"STU0214","Engineering",3,"WITHDRAWAL"
"STU0215","Business",4,"ADVISING_FLAG"
"STU0215","Business",7,"WITHDRAWAL"
"STU0218","Business",3,"PROBATION"
"STU0218","Business",3,"ADVISING_FLAG"
"STU0218","Business",7,"PROBATION"
"STU0218","Business",7,"ADVISING_FLAG"
"STU0218","Business",8,"ADVISING_FLAG"
"STU0219","Business",7,"PROBATION"
"STU0220","Liberal Arts",5,"ADVISING_FLAG"
"STU0221","Business",1,"ADVISING_FLAG"
"STU0222","Engineering",4,"PROBATION"
"STU0222","Engineering",7,"PROBATION"
"STU0223","Business",1,"ADVISING_FLAG"
"STU0223","Business",2,"LOA"
"STU0224","Liberal Arts",1,"WITHDRAWAL"
"STU0227","Engineering",3,"PROBATION"
"STU0227","Engineering",6,"PROBATION"
"STU0227","Engineering",7,"ADVISING_FLAG"
"STU0228","Engineering",5,"WITHDRAWAL"
"STU0229","Engineering",2,"ADVISING_FLAG"
"STU0231","Business",4,"ADVISING_FLAG"
"STU0231","Business",8,"ADVISING_FLAG"
"STU0233","Engineering",1,"WITHDRAWAL"
"STU0236","Liberal Arts",1,"PROBATION"
"STU0236","Liberal Arts",2,"PROBATION"
"STU0236","Liberal Arts",2,"DISMISSAL"
"STU0238","Liberal Arts",6,"ADVISING_FLAG"
"STU0240","Business",2,"ADVISING_FLAG"
"STU0241","Engineering",7,"ADVISING_FLAG"
"STU0242","Business",5,"ADVISING_FLAG"
"STU0244","Engineering",1,"ADVISING_FLAG"
"STU0245","Business",1,"PROBATION"
"STU0246","Business",5,"ADVISING_FLAG"
"STU0251","Engineering",2,"WITHDRAWAL"
"STU0254","Business",8,"ADVISING_FLAG"
"STU0255","Engineering",2,"WITHDRAWAL"
"STU0257","Engineering",2,"ADVISING_FLAG"
"STU0257","Engineering",7,"PROBATION"
"STU0259","Business",2,"ADVISING_FLAG"
"STU0261","Liberal Arts",1,"LOA"
"STU0265","Business",3,"ADVISING_FLAG"
"STU0265","Business",4,"PROBATION"
"STU0265","Business",5,"PROBATION"
"STU0265","Business",5,"DISMISSAL"
"STU0266","Engineering",1,"PROBATION"
"STU0266","Engineering",2,"PROBATION"
"STU0266","Engineering",2,"DISMISSAL"
"STU0268","Engineering",1,"PROBATION"
"STU0268","Engineering",6,"PROBATION"
"STU0268","Engineering",7,"PROBATION"
"STU0268","Engineering",7,"DISMISSAL"
"STU0271","Engineering",1,"ADVISING_FLAG"
"STU0272","Liberal Arts",8,"ADVISING_FLAG"
"STU0273","Business",1,"LOA"
"STU0273","Business",2,"ADVISING_FLAG"
"STU0274","Engineering",4,"WITHDRAWAL"
"STU0275","Liberal Arts",7,"LOA"
"STU0281","Business",2,"WITHDRAWAL"
"STU0282","Engineering",2,"LOA"
"STU0285","Engineering",1,"PROBATION"
"STU0285","Engineering",3,"WITHDRAWAL"
"STU0287","Business",2,"PROBATION"
"STU0287","Business",3,"PROBATION"
"STU0287","Business",3,"DISMISSAL"
"STU0289","Engineering",5,"LOA"
"STU0291","Liberal Arts",1,"LOA"
"STU0291","Liberal Arts",5,"LOA"
"STU0291","Liberal Arts",7,"ADVISING_FLAG"
"STU0291","Liberal Arts",8,"PROBATION"
"STU0291","Liberal Arts",8,"ADVISING_FLAG"
"STU0293","Engineering",5,"LOA"
"STU0295","Engineering",4,"ADVISING_FLAG"
"STU0295","Engineering",8,"ADVISING_FLAG"
"STU0296","Engineering",1,"LOA"
"STU0296","Engineering",2,"PROBATION"
"STU0296","Engineering",8,"PROBATION"
"STU0299","Engineering",3,"PROBATION"
"STU0299","Engineering",5,"PROBATION"
"STU0299","Engineering",7,"PROBATION"
"STU0299","Engineering",8,"PROBATION"
"STU0299","Engineering",8,"DISMISSAL"
"STU0300","Engineering",2,"WITHDRAWAL"
"STU0302","Business",4,"ADVISING_FLAG"
"STU0305","Liberal Arts",2,"PROBATION"
"STU0305","Liberal Arts",6,"PROBATION"
"STU0311","Engineering",1,"ADVISING_FLAG"
"STU0311","Engineering",6,"ADVISING_FLAG"
"STU0312","Liberal Arts",1,"PROBATION"
"STU0312","Liberal Arts",2,"PROBATION"
"STU0312","Liberal Arts",2,"DISMISSAL"
"STU0313","Business",4,"ADVISING_FLAG"
"STU0315","Engineering",1,"PROBATION"
"STU0315","Engineering",6,"ADVISING_FLAG"
"STU0315","Engineering",7,"PROBATION"
"STU0316","Liberal Arts",2,"PROBATION"
"STU0316","Liberal Arts",2,"ADVISING_FLAG"
"STU0316","Liberal Arts",3,"ADVISING_FLAG"
"STU0316","Liberal Arts",4,"ADVISING_FLAG"
"STU0316","Liberal Arts",6,"PROBATION"
"STU0316","Liberal Arts",6,"LOA"
"STU0316","Liberal Arts",8,"PROBATION"
"STU0317","Engineering",8,"ADVISING_FLAG"
"STU0318","Business",1,"PROBATION"
"STU0318","Business",2,"PROBATION"
"STU0318","Business",2,"DISMISSAL"
"STU0319","Liberal Arts",2,"WITHDRAWAL"
"STU0321","Business",3,"ADVISING_FLAG"
"STU0322","Business",7,"ADVISING_FLAG"
"STU0323","Engineering",2,"PROBATION"
"STU0323","Engineering",5,"ADVISING_FLAG"
"STU0324","Engineering",1,"PROBATION"
"STU0324","Engineering",3,"PROBATION"
"STU0324","Engineering",4,"PROBATION"
"STU0324","Engineering",4,"DISMISSAL"
"STU0325","Business",5,"PROBATION"
"STU0325","Business",7,"ADVISING_FLAG"
"STU0326","Liberal Arts",6,"ADVISING_FLAG"
"STU0327","Business",8,"PROBATION"
"STU0328","Liberal Arts",4,"ADVISING_FLAG"
"STU0329","Liberal Arts",6,"ADVISING_FLAG"
"STU0330","Liberal Arts",1,"LOA"
"STU0330","Liberal Arts",5,"ADVISING_FLAG"
"STU0331","Liberal Arts",1,"PROBATION"
"STU0331","Liberal Arts",2,"PROBATION"
"STU0331","Liberal Arts",2,"DISMISSAL"
"STU0332","Engineering",5,"PROBATION"
"STU0333","Engineering",7,"ADVISING_FLAG"
"STU0334","Business",4,"ADVISING_FLAG"
"STU0334","Business",8,"LOA"
"STU0335","Business",2,"PROBATION"
"STU0335","Business",3,"PROBATION"
"STU0335","Business",3,"DISMISSAL"
"STU0337","Business",1,"PROBATION"
"STU0337","Business",2,"PROBATION"
"STU0337","Business",2,"DISMISSAL"
"STU0338","Engineering",6,"ADVISING_FLAG"
"STU0338","Engineering",8,"PROBATION"
"STU0339","Liberal Arts",7,"LOA"
"STU0340","Engineering",6,"ADVISING_FLAG"
"STU0341","Business",1,"PROBATION"
"STU0341","Business",2,"PROBATION"
"STU0341","Business",2,"DISMISSAL"
"STU0342","Engineering",2,"ADVISING_FLAG"
"STU0342","Engineering",5,"ADVISING_FLAG"
"STU0344","Business",7,"PROBATION"
"STU0345","Engineering",1,"PROBATION"
"STU0345","Engineering",2,"PROBATION"
"STU0345","Engineering",2,"DISMISSAL"
"STU0346","Engineering",1,"WITHDRAWAL"
"STU0348","Business",2,"LOA"
"STU0348","Business",4,"PROBATION"
"STU0348","Business",5,"ADVISING_FLAG"
"STU0348","Business",7,"ADVISING_FLAG"
"STU0350","Liberal Arts",3,"PROBATION"
"STU0350","Liberal Arts",7,"LOA"
"STU0352","Business",2,"LOA"
"STU0353","Engineering",2,"ADVISING_FLAG"
"STU0356","Business",2,"PROBATION"
"STU0356","Business",5,"PROBATION"
"STU0356","Business",6,"PROBATION"
"STU0356","Business",6,"DISMISSAL"
"STU0360","Business",1,"ADVISING_FLAG"
"STU0360","Business",4,"PROBATION"
"STU0362","Business",4,"ADVISING_FLAG"
"STU0362","Business",7,"WITHDRAWAL"
"STU0364","Liberal Arts",3,"ADVISING_FLAG"
"STU0365","Business",3,"ADVISING_FLAG"
"STU0369","Business",3,"LOA"
"STU0371","Engineering",3,"LOA"
"STU0373","Liberal Arts",8,"LOA"
"STU0374","Engineering",4,"ADVISING_FLAG"
"STU0374","Engineering",6,"LOA"
"STU0375","Liberal Arts",7,"ADVISING_FLAG"
"STU0376","Liberal Arts",3,"PROBATION"
"STU0376","Liberal Arts",8,"ADVISING_FLAG"
"STU0377","Engineering",7,"ADVISING_FLAG"
"STU0377","Engineering",8,"WITHDRAWAL"
"STU0378","Engineering",3,"ADVISING_FLAG"
"STU0378","Engineering",7,"ADVISING_FLAG"
"STU0379","Engineering",1,"PROBATION"
"STU0379","Engineering",3,"PROBATION"
"STU0379","Engineering",4,"PROBATION"
"STU0379","Engineering",4,"DISMISSAL"
"STU0380","Liberal Arts",6,"PROBATION"
"STU0381","Business",1,"PROBATION"
"STU0381","Business",2,"PROBATION"
"STU0381","Business",2,"DISMISSAL"
"STU0384","Engineering",2,"PROBATION"
"STU0384","Engineering",3,"PROBATION"
"STU0384","Engineering",3,"DISMISSAL"
"STU0386","Liberal Arts",8,"PROBATION"
"STU0387","Engineering",6,"WITHDRAWAL"
"STU0389","Engineering",2,"WITHDRAWAL"
"STU0391","Liberal Arts",3,"ADVISING_FLAG"
"STU0395","Liberal Arts",4,"ADVISING_FLAG"
"STU0398","Liberal Arts",3,"PROBATION"
"STU0398","Liberal Arts",4,"PROBATION"
"STU0398","Liberal Arts",4,"DISMISSAL"
"STU0399","Business",2,"ADVISING_FLAG"
"STU0399","Business",5,"WITHDRAWAL"
"STU0400","Engineering",4,"WITHDRAWAL"
