"STUID","PROGRAM","TIME","EVENT"
"STU0255","Engineering",2,1
"STU0256","Liberal Arts",8,0
"STU0257","Engineering",8,0
"STU0258","Business",8,0
"STU0259","Business",8,0
"STU0260","Business",8,0
"STU0261","Liberal Arts",8,0
"STU0262","Engineering",8,0
"STU0263","Engineering",8,0
"STU0264","Liberal Arts",8,0
"STU0265","Business",5,1
"STU0266","Engineering",2,1
"STU0267","Liberal Arts",8,0
"STU0268","Engineering",7,1
"STU0269","Liberal Arts",8,0
"STU0270","Liberal Arts",8,0
"STU0271","Engineering",8,0
"STU0272","Liberal Arts",8,0
"STU0273","Business",8,0
"STU0274","Engineering",4,1
"STU0275","Liberal Arts",8,0
"STU0276","Engineering",8,0
"STU0277","Engineering",8,0
"STU0278","Business",8,0
"STU0279","Business",8,0
"STU0280","Business",8,0
"STU0281","Business",2,1
"STU0282","Engineering",8,0
"STU0283","Engineering",8,0
"STU0284","Liberal Arts",8,0
"STU0285","Engineering",3,1
"STU0286","Engineering",8,0
"STU0287","Business",3,1
"STU0288","Engineering",8,0
"STU0289","Engineering",8,0
"STU0290","Engineering",8,0
"STU0291","Liberal Arts",8,0
"STU0292","Liberal Arts",8,0
"STU0293","Engineering",8,0
"STU0294","Business",8,0
"STU0295","Engineering",8,0
"STU0296","Engineering",8,0
"STU0297","Liberal Arts",8,0
"STU0298","Business",8,0
"STU0299","Engineering",8,1
"STU0300","Engineering",2,1
"STU0301","Business",8,0
"STU0302","Business",8,0
"STU0303","Engineering",8,0
"STU0304","Engineering",8,0
"STU0305","Liberal Arts",8,0
"STU0306","Liberal Arts",8,0
"STU0307","Business",8,0
"STU0308","Engineering",8,0
"STU0309","Engineering",8,0
"STU0310","Engineering",8,0
"STU0311","Engineering",8,0
"STU0312","Liberal Arts",2,1
"STU0313","Business",8,0
"STU0314","Engineering",8,0
"STU0315","Engineering",8,0
"STU0316","Liberal Arts",8,0
"STU0317","Engineering",8,0
"STU0318","Business",2,1
"STU0319","Liberal Arts",2,1
"STU0320","Liberal Arts",8,0
"STU0321","Business",8,0
"STU0322","Business",8,0
"STU0323","Engineering",8,0
"STU0324","Engineering",4,1
"STU0325","Business",8,0
"STU0326","Liberal Arts",8,0
"STU0327","Business",8,0
"STU0328","Liberal Arts",8,0
"STU0329","Liberal Arts",8,0
"STU0330","Liberal Arts",8,0
"STU0331","Liberal Arts",2,1
"STU0332","Engineering",8,0
"STU0333","Engineering",8,0
"STU0334","Business",8,0
"STU0335","Business",3,1
"STU0336","Business",8,0
"STU0337","Business",2,1
"STU0338","Engineering",8,0
"STU0339","Liberal Arts",8,0
"STU0340","Engineering",8,0
"STU0341","Business",2,1
"STU0342","Engineering",8,0
"STU0343","Liberal Arts",8,0
"STU0344","Business",8,0
"STU0345","Engineering",2,1
"STU0346","Engineering",1,1
"STU0347","Liberal Arts",8,0
"STU0348","Business",8,0
"STU0349","Liberal Arts",8,0
"STU0350","Liberal Arts",8,0
"STU0351","Business",8,0
"STU0352","Business",8,0
"STU0353","Engineering",8,0
"STU0354","Engineering",8,0
"STU0355","Liberal Arts",8,0
"STU0356","Business",6,1
"STU0357","Business",8,0
"STU0358","Liberal Arts",8,0
"STU0359","Business",8,0
"STU0360","Business",8,0
"STU0361","Business",8,0
"STU0362","Business",7,1
"STU0363","Engineering",8,0
"STU0364","Liberal Arts",8,0
"STU0365","Business",8,0
"STU0366","Business",8,0
"STU0367","Business",8,0
"STU0368","Liberal Arts",8,0
"STU0369","Business",8,0
"STU0370","Engineering",8,0
"STU0371","Engineering",8,0
"STU0372","Engineering",8,0
"STU0373","Liberal Arts",8,0
"STU0374","Engineering",8,0
"STU0375","Liberal Arts",8,0
"STU0376","Liberal Arts",8,0
"STU0377","Engineering",8,1
"STU0378","Engineering",8,0
"STU0379","Engineering",4,1
"STU0380","Liberal Arts",8,0
"STU0381","Business",2,1
"STU0382","Business",8,0
"STU0383","Business",8,0
"STU0384","Engineering",3,1
"STU0385","Business",8,0
"STU0386","Liberal Arts",8,0
"STU0387","Engineering",6,1
"STU0388","Liberal Arts",8,0
"STU0389","Engineering",2,1
"STU0390","Engineering",8,0
"STU0391","Liberal Arts",8,0
"STU0392","Business",8,0
"STU0393","Business",8,0
"STU0394","Engineering",8,0
"STU0395","Liberal Arts",8,0
"STU0396","Business",8,0
"STU0397","Liberal Arts",8,0
"STU0398","Liberal Arts",4,1
"STU0399","Business",5,1
"STU0400","Engineering",4,1
