"STUID","PROGRAM","TERM","TERM_GPA","CREDITS_ATTEMPTED","CREDITS_EARNED"
"STU0016","Liberal Arts",5,2.76,15,15
"STU0016","Liberal Arts",6,3.47,15,15
"STU0016","Liberal Arts",7,2.59,15,15
"STU0016","Liberal Arts",8,2.51,15,15
"STU0017","Liberal Arts",1,3.5,15,15
"STU0017","Liberal Arts",2,4,15,15
"STU0017","Liberal Arts",3,3.79,15,15
"STU0017","Liberal Arts",4,3.21,15,15
"STU0017","Liberal Arts",5,3.48,15,15
"STU0017","Liberal Arts",6,3.5,15,15
"STU0017","Liberal Arts",7,3.46,15,15
"STU0017","Liberal Arts",8,2.97,15,15
"STU0018","Engineering",1,2.42,15,15
"STU0018","Engineering",2,2.65,15,15
"STU0018","Engineering",3,2.59,15,15
"STU0018","Engineering",4,2.46,15,15
"STU0018","Engineering",5,2.47,15,15
"STU0018","Engineering",6,2.98,15,15
"STU0018","Engineering",7,2.5,15,15
"STU0018","Engineering",8,1.49,15,15
"STU0019","Business",1,2.22,15,15
"STU0019","Business",2,1.3,15,15
"STU0019","Business",3,2.2,15,15
"STU0019","Business",4,2.51,15,15
"STU0019","Business",5,1.64,15,15
"STU0019","Business",6,1.88,15,15
"STU0020","Business",1,3.71,15,15
"STU0020","Business",2,3.63,15,15
"STU0020","Business",3,4,15,15
"STU0020","Business",4,4,15,15
"STU0020","Business",5,4,15,15
"STU0020","Business",6,4,15,15
"STU0020","Business",7,4,15,15
"STU0020","Business",8,4,15,15
"STU0021","Liberal Arts",1,2.35,15,15
"STU0021","Liberal Arts",2,2.46,15,15
"STU0021","Liberal Arts",3,2.84,15,15
"STU0021","Liberal Arts",4,1.86,15,15
"STU0021","Liberal Arts",5,3.13,15,15
"STU0021","Liberal Arts",6,2.05,15,15
"STU0021","Liberal Arts",7,2.28,15,15
"STU0021","Liberal Arts",8,2.39,15,15
"STU0022","Engineering",1,2.21,15,15
"STU0022","Engineering",2,2.8,15,15
"STU0022","Engineering",3,3.23,15,15
"STU0022","Engineering",4,2.82,15,15
"STU0022","Engineering",5,2.58,15,15
"STU0022","Engineering",6,3.17,15,15
"STU0022","Engineering",7,3.26,15,15
"STU0022","Engineering",8,2.9,15,15
"STU0023","Liberal Arts",1,2.34,15,15
"STU0023","Liberal Arts",2,2.44,15,15
"STU0023","Liberal Arts",3,2.02,15,15
"STU0023","Liberal Arts",4,2.37,15,15
"STU0023","Liberal Arts",5,2.2,15,15
"STU0023","Liberal Arts",6,1.34,15,15
"STU0023","Liberal Arts",7,1.93,15,15
"STU0024","Liberal Arts",1,2.84,15,15
"STU0024","Liberal Arts",2,2.59,15,15
"STU0024","Liberal Arts",3,2.91,15,15
"STU0024","Liberal Arts",4,2.27,15,15
"STU0024","Liberal Arts",5,2.6,15,15
"STU0024","Liberal Arts",6,2.71,15,15
"STU0024","Liberal Arts",7,2.61,15,15
"STU0024","Liberal Arts",8,2.85,15,15
"STU0025","Engineering",1,2.63,15,15
"STU0025","Engineering",2,3.3,15,15
"STU0025","Engineering",3,2.66,15,15
"STU0025","Engineering",4,2.73,15,15
"STU0025","Engineering",5,3.22,15,15
"STU0025","Engineering",6,2.77,15,15
"STU0025","Engineering",7,3.4,15,15
"STU0025","Engineering",8,4,15,15
"STU0026","Business",1,3.02,15,15
"STU0026","Business",2,3.41,15,15
"STU0026","Business",3,3.6,15,15
"STU0026","Business",4,2.39,15,15
"STU0026","Business",5,2.43,15,15
"STU0026","Business",6,3.4,15,15
"STU0026","Business",7,2.47,15,15
"STU0026","Business",8,2.81,15,15
"STU0027","Business",1,3.31,15,15
"STU0027","Business",2,2.39,15,15
"STU0027","Business",3,3,15,15
"STU0027","Business",4,2.24,15,15
"STU0027","Business",5,3.35,15,15
"STU0027","Business",6,2.41,15,15
"STU0027","Business",7,3.09,15,15
"STU0027","Business",8,2.32,15,15
"STU0028","Liberal Arts",1,2.9,15,15
"STU0028","Liberal Arts",2,3.24,15,15
"STU0028","Liberal Arts",3,3.81,15,15
"STU0028","Liberal Arts",4,3.34,15,15
"STU0028","Liberal Arts",5,2.6,15,15
"STU0028","Liberal Arts",6,2.85,15,15
"STU0028","Liberal Arts",7,3.14,15,15
"STU0028","Liberal Arts",8,2.44,15,15
"STU0029","Business",1,3.36,15,15
"STU0029","Business",2,3.24,15,15
"STU0029","Business",3,3.09,15,15
"STU0029","Business",4,3.82,15,15
"STU0029","Business",5,2.54,15,15
"STU0029","Business",6,3.62,15,15
"STU0029","Business",7,2.72,15,15
"STU0029","Business",8,2.52,15,15
"STU0030","Liberal Arts",1,3.45,15,15
"STU0030","Liberal Arts",2,3.2,15,15
"STU0030","Liberal Arts",3,3.56,15,15
"STU0030","Liberal Arts",4,3.89,15,15
"STU0030","Liberal Arts",5,2.71,15,15
"STU0030","Liberal Arts",6,3.86,15,15
"STU0030","Liberal Arts",7,3.8,15,15
"STU0030","Liberal Arts",8,3.73,15,15
"STU0031","Liberal Arts",1,2.99,15,15
"STU0031","Liberal Arts",2,3.71,15,15
"STU0031","Liberal Arts",3,3.35,15,15
"STU0031","Liberal Arts",4,2.57,15,15
"STU0031","Liberal Arts",5,2.43,15,15
"STU0031","Liberal Arts",6,3.13,15,15
"STU0031","Liberal Arts",7,2.72,15,15
"STU0031","Liberal Arts",8,2.07,15,15
"STU0032","Liberal Arts",1,3.16,15,15
"STU0032","Liberal Arts",2,3.02,15,15
"STU0032","Liberal Arts",3,3.34,15,15
"STU0032","Liberal Arts",4,2.53,15,15
"STU0032","Liberal Arts",5,3.31,15,15
"STU0032","Liberal Arts",6,2.79,15,15
"STU0032","Liberal Arts",7,3.16,15,15
"STU0032","Liberal Arts",8,3.49,15,15
"STU0033","Business",1,3.32,15,15
"STU0033","Business",2,3.18,15,15
"STU0033","Business",3,2.87,15,15
"STU0033","Business",4,2.86,15,15
"STU0033","Business",5,3.04,15,15
"STU0033","Business",6,3.08,15,15
"STU0033","Business",7,2.49,15,15
"STU0033","Business",8,2.45,15,15
"STU0034","Business",1,3.92,15,15
"STU0034","Business",2,4,15,15
"STU0034","Business",3,3.51,15,15
"STU0034","Business",4,4,15,15
"STU0034","Business",5,3.87,15,15
"STU0034","Business",6,3.98,15,15
"STU0034","Business",7,3.66,15,15
"STU0034","Business",8,4,15,15
"STU0035","Engineering",1,3.15,15,15
"STU0035","Engineering",2,3.85,15,15
"STU0035","Engineering",3,2.45,15,15
"STU0035","Engineering",4,3.21,15,15
"STU0035","Engineering",5,3.48,15,15
"STU0035","Engineering",6,3.84,15,15
"STU0035","Engineering",7,3.82,15,15
"STU0035","Engineering",8,3.06,15,15
"STU0036","Liberal Arts",1,4,15,15
"STU0036","Liberal Arts",2,4,15,15
"STU0036","Liberal Arts",3,3.77,15,15
"STU0036","Liberal Arts",4,4,15,15
"STU0036","Liberal Arts",5,3.83,15,15
"STU0036","Liberal Arts",6,4,15,15
"STU0036","Liberal Arts",7,4,15,15
"STU0036","Liberal Arts",8,3.74,15,15
"STU0037","Engineering",1,2.14,15,15
"STU0037","Engineering",2,2.94,15,15
"STU0037","Engineering",3,2.48,15,15
"STU0037","Engineering",4,2.42,15,15
"STU0037","Engineering",5,2.63,15,15
"STU0037","Engineering",6,2.94,15,15
"STU0037","Engineering",7,1.65,15,15
"STU0037","Engineering",8,2.8,15,15
"STU0038","Engineering",1,2.6,15,15
"STU0038","Engineering",2,2.16,15,15
"STU0038","Engineering",3,2.63,15,15
"STU0038","Engineering",4,2.39,15,15
"STU0038","Engineering",5,2.27,15,15
"STU0038","Engineering",6,2.63,15,15
"STU0038","Engineering",7,2.76,15,15
"STU0038","Engineering",8,2.22,15,15
"STU0039","Liberal Arts",1,3.68,15,15
"STU0039","Liberal Arts",2,3.74,15,15
"STU0039","Liberal Arts",3,3.82,15,15
"STU0039","Liberal Arts",4,3.73,15,15
"STU0039","Liberal Arts",5,3.54,15,15
"STU0039","Liberal Arts",6,4,15,15
"STU0039","Liberal Arts",7,4,15,15
"STU0039","Liberal Arts",8,4,15,15
"STU0040","Business",1,3.17,15,15
"STU0040","Business",2,3.67,15,15
"STU0040","Business",3,4,15,15
"STU0040","Business",4,4,15,15
"STU0040","Business",5,4,15,15
"STU0040","Business",6,3.5,15,15
"STU0040","Business",7,3.75,15,15
"STU0040","Business",8,3.54,15,15
"STU0042","Business",1,3.03,15,15
"STU0042","Business",2,2.1,15,15
"STU0042","Business",3,2.74,15,15
"STU0042","Business",4,2.89,15,15
"STU0042","Business",5,3.12,15,15
"STU0043","Engineering",1,2.62,15,15
"STU0043","Engineering",2,2.16,15,15
"STU0043","Engineering",3,2.95,15,15
"STU0043","Engineering",4,2.69,15,15
"STU0043","Engineering",5,2.13,15,15
"STU0043","Engineering",6,3.4,15,15
"STU0043","Engineering",7,2.53,15,15
"STU0043","Engineering",8,2.56,15,15
"STU0044","Liberal Arts",1,3.86,15,15
"STU0044","Liberal Arts",2,3.89,15,15
"STU0044","Liberal Arts",3,3.9,15,15
"STU0044","Liberal Arts",4,4,15,15
"STU0044","Liberal Arts",5,4,15,15
"STU0044","Liberal Arts",6,4,15,15
"STU0044","Liberal Arts",7,3.97,15,15
"STU0044","Liberal Arts",8,3.54,15,15
"STU0045","Business",1,3.29,15,15
"STU0045","Business",2,3.61,15,15
"STU0045","Business",3,4,15,15
"STU0045","Business",4,3.33,15,15
"STU0045","Business",5,4,15,15
"STU0045","Business",6,3.97,15,15
"STU0045","Business",7,4,15,15
"STU0045","Business",8,3.55,15,15
"STU0046","Liberal Arts",1,3.16,15,15
"STU0046","Liberal Arts",2,3.89,15,15
"STU0046","Liberal Arts",3,3,15,15
"STU0046","Liberal Arts",4,2.33,15,15
"STU0046","Liberal Arts",5,2.81,15,15
"STU0046","Liberal Arts",6,2.93,15,15
"STU0046","Liberal Arts",7,2.01,15,15
"STU0046","Liberal Arts",8,2.61,15,15
"STU0047","Liberal Arts",1,4,15,15
"STU0047","Liberal Arts",2,3.34,15,15
"STU0047","Liberal Arts",3,3.78,15,15
"STU0047","Liberal Arts",4,4,15,15
"STU0047","Liberal Arts",5,4,15,15
"STU0047","Liberal Arts",6,4,15,15
"STU0047","Liberal Arts",7,3.65,15,15
"STU0047","Liberal Arts",8,3.92,15,15
"STU0048","Business",1,3.05,15,15
"STU0048","Business",2,3.08,15,15
"STU0048","Business",3,3.72,15,15
"STU0049","Liberal Arts",1,3.41,15,15
"STU0049","Liberal Arts",2,3.21,15,15
"STU0049","Liberal Arts",3,2.9,15,15
"STU0049","Liberal Arts",4,2.82,15,15
"STU0049","Liberal Arts",5,2.88,15,15
"STU0049","Liberal Arts",6,3.03,15,15
"STU0049","Liberal Arts",7,2.27,15,15
"STU0049","Liberal Arts",8,1.99,15,15
"STU0050","Business",1,2.94,15,15
"STU0050","Business",2,3.62,15,15
"STU0051","Engineering",1,3.01,15,15
"STU0051","Engineering",2,2.61,15,15
"STU0051","Engineering",3,3.92,15,15
"STU0051","Engineering",4,3.41,15,15
"STU0051","Engineering",5,3.32,15,15
"STU0051","Engineering",6,3.03,15,15
"STU0051","Engineering",7,2.82,15,15
"STU0051","Engineering",8,2.73,15,15
"STU0052","Engineering",1,1.85,15,15
"STU0052","Engineering",2,2.06,15,15
"STU0052","Engineering",3,2.1,15,15
"STU0052","Engineering",4,2.12,15,15
"STU0052","Engineering",5,2.53,15,15
"STU0052","Engineering",6,1.57,15,15
"STU0052","Engineering",7,1.61,15,15
"STU0053","Business",1,2.94,15,15
"STU0053","Business",2,2.37,15,15
"STU0053","Business",3,3.95,15,15
"STU0053","Business",4,2.77,15,15
"STU0053","Business",5,2.3,15,15
"STU0053","Business",6,3.49,15,15
"STU0053","Business",7,2.6,15,15
"STU0053","Business",8,3.28,15,15
"STU0054","Liberal Arts",1,3.36,15,15
"STU0054","Liberal Arts",2,2.18,15,15
"STU0054","Liberal Arts",3,3.13,15,15
"STU0054","Liberal Arts",4,3.38,15,15
"STU0054","Liberal Arts",5,3.05,15,15
"STU0054","Liberal Arts",6,3.43,15,15
"STU0054","Liberal Arts",7,2.38,15,15
"STU0054","Liberal Arts",8,2.58,15,15
"STU0055","Engineering",1,3.61,15,15
"STU0055","Engineering",2,3.12,15,15
"STU0055","Engineering",3,3.36,15,15
"STU0055","Engineering",4,3.92,15,15
"STU0055","Engineering",5,3.84,15,15
"STU0055","Engineering",6,3.67,15,15
"STU0055","Engineering",7,3.8,15,15
"STU0055","Engineering",8,4,15,15
"STU0056","Liberal Arts",1,3.16,15,15
"STU0056","Liberal Arts",2,2.52,15,15
"STU0056","Liberal Arts",3,3.57,15,15
"STU0056","Liberal Arts",4,2.58,15,15
"STU0056","Liberal Arts",5,3.03,15,15
"STU0056","Liberal Arts",6,3.09,15,15
"STU0056","Liberal Arts",7,2.74,15,15
"STU0056","Liberal Arts",8,3.65,15,15
"STU0057","Business",1,3.3,15,15
"STU0057","Business",2,3.93,15,15
"STU0057","Business",3,3.94,15,15
"STU0057","Business",4,3.07,15,15
"STU0057","Business",5,3.91,15,15
"STU0057","Business",6,3.33,15,15
"STU0057","Business",7,3.6,15,15
"STU0057","Business",8,3.8,15,15
"STU0058","Engineering",1,3.68,15,15
"STU0058","Engineering",2,3.6,15,15
"STU0058","Engineering",3,3.49,15,15
"STU0058","Engineering",4,3.63,15,15
"STU0058","Engineering",5,3.11,15,15
"STU0058","Engineering",6,3.46,15,15
"STU0058","Engineering",7,3.1,15,15
"STU0058","Engineering",8,3.55,15,15
"STU0059","Engineering",1,2.59,15,15
"STU0059","Engineering",2,2.45,15,15
"STU0059","Engineering",3,3.16,15,15
"STU0059","Engineering",4,3.67,15,15
"STU0059","Engineering",5,3.05,15,15
"STU0059","Engineering",6,3.21,15,15
"STU0059","Engineering",7,3.44,15,15
"STU0059","Engineering",8,2.81,15,15
"STU0060","Business",1,3.1,15,15
"STU0060","Business",2,3.44,15,15
"STU0060","Business",3,2.59,15,15
"STU0060","Business",4,2.76,15,15
"STU0060","Business",5,2.71,15,15
"STU0060","Business",6,2.91,15,15
"STU0060","Business",7,2.76,15,15
"STU0060","Business",8,2.87,15,15
"STU0061","Business",1,4,15,15
"STU0061","Business",2,3.75,15,15
"STU0061","Business",3,4,15,15
"STU0061","Business",4,3.71,15,15
"STU0061","Business",5,3.98,15,15
"STU0061","Business",6,3.3,15,15
"STU0061","Business",7,3.62,15,15
"STU0061","Business",8,4,15,15
"STU0062","Liberal Arts",1,4,15,15
"STU0062","Liberal Arts",2,4,15,15
"STU0062","Liberal Arts",3,4,15,15
"STU0062","Liberal Arts",4,4,15,15
"STU0062","Liberal Arts",5,3.26,15,15
"STU0062","Liberal Arts",6,4,15,15
"STU0062","Liberal Arts",7,4,15,15
"STU0062","Liberal Arts",8,4,15,15
"STU0063","Liberal Arts",1,4,15,15
"STU0063","Liberal Arts",2,3.32,15,15
"STU0063","Liberal Arts",3,3.52,15,15
"STU0063","Liberal Arts",4,3.88,15,15
"STU0063","Liberal Arts",5,4,15,15
"STU0063","Liberal Arts",6,3.63,15,15
"STU0063","Liberal Arts",7,3.46,15,15
"STU0063","Liberal Arts",8,4,15,15
"STU0064","Business",1,2.98,15,15
"STU0064","Business",2,2.56,15,15
"STU0064","Business",3,3.01,15,15
"STU0064","Business",4,3.22,15,15
"STU0064","Business",5,2.74,15,15
"STU0064","Business",6,4,15,15
"STU0064","Business",7,2.75,15,15
"STU0064","Business",8,2.86,15,15
"STU0065","Liberal Arts",1,2.94,15,15
"STU0065","Liberal Arts",2,2.61,15,15
"STU0065","Liberal Arts",3,2.55,15,15
"STU0065","Liberal Arts",4,2.76,15,15
"STU0065","Liberal Arts",5,2.49,15,15
"STU0065","Liberal Arts",6,2.81,15,15
"STU0065","Liberal Arts",7,2.4,15,15
"STU0065","Liberal Arts",8,2.27,15,15
"STU0066","Engineering",1,3.52,15,15
"STU0066","Engineering",2,3.1,15,15
"STU0066","Engineering",3,3.48,15,15
"STU0066","Engineering",4,3.87,15,15
"STU0066","Engineering",5,3.09,15,15
"STU0066","Engineering",6,3.07,15,15
"STU0066","Engineering",7,3.72,15,15
"STU0066","Engineering",8,3.09,15,15
"STU0067","Engineering",1,3.5,15,15
"STU0067","Engineering",2,3.7,15,15
"STU0067","Engineering",3,3.53,15,15
"STU0067","Engineering",4,3.16,15,15
"STU0067","Engineering",5,3.95,15,15
"STU0067","Engineering",6,3.36,15,15
"STU0067","Engineering",7,3.33,15,15
"STU0067","Engineering",8,3.22,15,15
"STU0068","Liberal Arts",1,3.4,15,15
"STU0068","Liberal Arts",2,3.79,15,15
"STU0068","Liberal Arts",3,3.85,15,15
"STU0068","Liberal Arts",4,3.75,15,15
"STU0068","Liberal Arts",5,4,15,15
"STU0068","Liberal Arts",6,3.95,15,15
"STU0068","Liberal Arts",7,4,15,15
"STU0068","Liberal Arts",8,3.85,15,15
"STU0069","Business",1,2.03,15,15
"STU0069","Business",2,1.64,15,15
"STU0069","Business",3,2.26,15,15
"STU0069","Business",4,2.36,15,15
"STU0069","Business",5,0.96,15,9
"STU0069","Business",6,1.1,15,15
"STU0070","Engineering",1,3.27,15,15
"STU0070","Engineering",2,3.06,15,15
"STU0070","Engineering",3,3.07,15,15
"STU0070","Engineering",4,3.19,15,15
"STU0070","Engineering",5,3.16,15,15
"STU0070","Engineering",6,3.18,15,15
"STU0070","Engineering",7,2.57,15,15
"STU0070","Engineering",8,3.74,15,15
"STU0071","Engineering",1,4,15,15
"STU0071","Engineering",2,3.8,15,15
"STU0071","Engineering",3,3.58,15,15
"STU0071","Engineering",4,3.94,15,15
"STU0071","Engineering",5,3.97,15,15
"STU0071","Engineering",6,3.75,15,15
"STU0071","Engineering",7,4,15,15
"STU0071","Engineering",8,3.91,15,15
"STU0072","Engineering",1,1.12,15,15
"STU0072","Engineering",2,0.84,15,9
"STU0073","Engineering",1,2.27,15,15
"STU0073","Engineering",2,2.87,15,15
"STU0073","Engineering",3,3.45,15,15
"STU0073","Engineering",4,3.61,15,15
"STU0073","Engineering",5,2.55,15,15
"STU0073","Engineering",6,3.11,15,15
"STU0073","Engineering",7,2.72,15,15
"STU0073","Engineering",8,3.9,15,15
"STU0074","Business",1,3.48,15,15
"STU0074","Business",2,3.3,15,15
"STU0074","Business",3,3.76,15,15
"STU0074","Business",4,3.43,15,15
"STU0074","Business",5,3.87,15,15
"STU0074","Business",6,3.23,15,15
"STU0074","Business",7,3.28,15,15
"STU0074","Business",8,2.79,15,15
"STU0075","Engineering",1,3.31,15,15
"STU0075","Engineering",2,2.51,15,15
"STU0075","Engineering",3,3.11,15,15
"STU0075","Engineering",4,2.03,15,15
"STU0075","Engineering",5,3.62,15,15
"STU0075","Engineering",6,3.08,15,15
"STU0075","Engineering",7,3.33,15,15
"STU0075","Engineering",8,3.4,15,15
"STU0076","Liberal Arts",1,2.65,15,15
"STU0076","Liberal Arts",2,1.79,15,15
"STU0076","Liberal Arts",3,1.58,15,15
"STU0077","Engineering",1,3.39,15,15
"STU0077","Engineering",2,2.94,15,15
"STU0077","Engineering",3,3.26,15,15
"STU0077","Engineering",4,3.12,15,15
"STU0077","Engineering",5,3.33,15,15
"STU0077","Engineering",6,3.48,15,15
"STU0077","Engineering",7,3.08,15,15
"STU0077","Engineering",8,3.94,15,15
"STU0078","Business",1,4,15,15
"STU0078","Business",2,4,15,15
"STU0078","Business",3,4,15,15
"STU0078","Business",4,3.54,15,15
"STU0079","Business",1,2.33,15,15
"STU0079","Business",2,2.72,15,15
"STU0079","Business",3,2.02,15,15
"STU0079","Business",4,3.02,15,15
"STU0079","Business",5,2.62,15,15
"STU0080","Engineering",1,3.47,15,15
"STU0080","Engineering",2,4,15,15
"STU0080","Engineering",3,4,15,15
"STU0080","Engineering",4,3.62,15,15
"STU0080","Engineering",5,4,15,15
"STU0080","Engineering",6,3.55,15,15
"STU0080","Engineering",7,4,15,15
"STU0080","Engineering",8,4,15,15
"STU0081","Business",1,4,15,15
"STU0081","Business",2,3.47,15,15
"STU0081","Business",3,3.32,15,15
"STU0081","Business",4,3.99,15,15
"STU0081","Business",5,3.85,15,15
"STU0081","Business",6,3.58,15,15
"STU0081","Business",7,3.62,15,15
"STU0081","Business",8,3.71,15,15
"STU0082","Engineering",1,2.68,15,15
"STU0083","Business",1,2.8,15,15
"STU0083","Business",2,2.76,15,15
"STU0083","Business",3,2.46,15,15
"STU0083","Business",4,2.2,15,15
"STU0083","Business",5,2.08,15,15
"STU0083","Business",6,2.4,15,15
"STU0083","Business",7,2.67,15,15
"STU0083","Business",8,2.62,15,15
"STU0084","Business",1,3.02,15,15
"STU0084","Business",2,3.08,15,15
"STU0084","Business",3,3.34,15,15
"STU0084","Business",4,2.72,15,15
"STU0084","Business",5,2.83,15,15
"STU0084","Business",6,2.29,15,15
"STU0084","Business",7,3.35,15,15
"STU0084","Business",8,3.45,15,15
"STU0085","Liberal Arts",1,3.35,15,15
"STU0085","Liberal Arts",2,3,15,15
"STU0085","Liberal Arts",3,3.05,15,15
"STU0085","Liberal Arts",4,2.91,15,15
"STU0085","Liberal Arts",5,3.12,15,15
"STU0085","Liberal Arts",6,3.04,15,15
"STU0085","Liberal Arts",7,3.31,15,15
"STU0085","Liberal Arts",8,2.28,15,15
"STU0086","Business",1,3.58,15,15
"STU0086","Business",2,3.77,15,15
"STU0086","Business",3,3.22,15,15
"STU0086","Business",4,4,15,15
"STU0086","Business",5,3.54,15,15
"STU0087","Engineering",1,3.17,15,15
"STU0087","Engineering",2,3.43,15,15
"STU0087","Engineering",3,3.21,15,15
"STU0087","Engineering",4,3.08,15,15
"STU0087","Engineering",5,2.73,15,15
"STU0087","Engineering",6,3.12,15,15
"STU0087","Engineering",7,3.26,15,15
"STU0087","Engineering",8,3.11,15,15
"STU0088","Engineering",1,3.44,15,15
"STU0088","Engineering",2,2.6,15,15
"STU0088","Engineering",3,3.32,15,15
"STU0088","Engineering",4,3.44,15,15
"STU0088","Engineering",5,3.02,15,15
"STU0088","Engineering",6,3.39,15,15
"STU0088","Engineering",7,3.94,15,15
"STU0088","Engineering",8,3.27,15,15
"STU0089","Engineering",1,3.67,15,15
"STU0089","Engineering",2,4,15,15
"STU0089","Engineering",3,3.58,15,15
"STU0089","Engineering",4,3.93,15,15
"STU0089","Engineering",5,4,15,15
"STU0089","Engineering",6,3.98,15,15
"STU0089","Engineering",7,4,15,15
"STU0089","Engineering",8,3.5,15,15
"STU0090","Engineering",1,4,15,15
"STU0090","Engineering",2,3.57,15,15
"STU0090","Engineering",3,3.66,15,15
"STU0090","Engineering",4,3.95,15,15
"STU0090","Engineering",5,3.77,15,15
"STU0090","Engineering",6,3.78,15,15
"STU0090","Engineering",7,4,15,15
"STU0090","Engineering",8,3.69,15,15
