"STUID","PROGRAM","COHORT_YEAR","AGE","SEX","ENTRY_GPA","ENTRY_TEST_SCORE","FINAL_STATUS"
"STU0054","Liberal Arts",2022,18,"F",2.85,1138,"GRADUATED"
"STU0055","Engineering",2022,19,"M",3.47,1025,"GRADUATED"
"STU0056","Liberal Arts",2022,17,"F",3.17,1206,"GRADUATED"
"STU0057","Business",2022,18,"M",3.65,1387,"GRADUATED"
"STU0058","Engineering",2022,18,"F",3.22,963,"GRADUATED"
"STU0059","Engineering",2022,17,"F",3.78,1162,"GRADUATED"
"STU0060","Business",2022,18,"M",3.1,1270,"GRADUATED"
"STU0061","Business",2022,19,"M",3.39,1497,"GRADUATED"
"STU0062","Liberal Arts",2022,19,"M",3.45,1108,"GRADUATED"
"STU0063","Liberal Arts",2022,18,"M",3.41,1428,"GRADUATED"
"STU0064","Business",2022,17,"F",3.38,1135,"GRADUATED"
"STU0065","Liberal Arts",2022,18,"F",3.29,1045,"GRADUATED"
"STU0066","Engineering",2022,19,"M",3.26,1030,"GRADUATED"
"STU0067","Engineering",2022,18,"M",3.85,1167,"GRADUATED"
"STU0068","Liberal Arts",2022,18,"M",3.66,1197,"GRADUATED"
"STU0069","Business",2022,17,"M",3.06,1152,"DISMISSED"
"STU0070","Engineering",2022,18,"F",3.86,1358,"GRADUATED"
"STU0071","Engineering",2022,18,"F",3.36,1228,"GRADUATED"
"STU0072","Engineering",2022,18,"M",3.04,1184,"DISMISSED"
"STU0073","Engineering",2022,18,"F",3.37,1110,"GRADUATED"
"STU0074","Business",2022,18,"F",3.24,1006,"GRADUATED"
"STU0075","Engineering",2022,18,"M",3.34,906,"GRADUATED"
"STU0076","Liberal Arts",2022,19,"M",2.91,1232,"DISMISSED"
"STU0077","Engineering",2022,18,"F",2.97,1204,"GRADUATED"
"STU0078","Business",2022,17,"M",3.85,1405,"WITHDRAWN"
"STU0079","Business",2022,19,"F",3.68,1244,"WITHDRAWN"
"STU0080","Engineering",2022,19,"F",2.95,1320,"GRADUATED"
"STU0081","Business",2022,18,"M",2.94,1206,"GRADUATED"
"STU0082","Engineering",2022,17,"F",3.99,1077,"WITHDRAWN"
"STU0083","Business",2022,18,"F",4,1243,"GRADUATED"
"STU0084","Business",2022,18,"F",2.99,1251,"GRADUATED"
"STU0085","Liberal Arts",2022,18,"F",2.78,1077,"GRADUATED"
"STU0086","Business",2022,18,"M",4,1196,"WITHDRAWN"
"STU0087","Engineering",2022,19,"M",3.39,1500,"GRADUATED"
"STU0088","Engineering",2022,18,"M",3.37,1031,"GRADUATED"
"STU0089","Engineering",2022,17,"F",3.33,1421,"GRADUATED"
"STU0090","Engineering",2022,18,"M",3.86,1166,"GRADUATED"
"STU0091","Business",2022,18,"F",3.22,1422,"GRADUATED"
"STU0092","Engineering",2022,18,"F",3.88,1074,"GRADUATED"
"STU0093","Engineering",2022,18,"F",3.21,1190,"GRADUATED"
"STU0094","Liberal Arts",2022,19,"M",3.5,1247,"GRADUATED"
"STU0095","Liberal Arts",2022,18,"M",2.89,1183,"GRADUATED"
"STU0096","Liberal Arts",2022,18,"F",3.37,1299,"GRADUATED"
"STU0097","Engineering",2022,18,"M",3.78,1175,"GRADUATED"
"STU0098","Business",2022,19,"F",3.23,1381,"GRADUATED"
"STU0099","Liberal Arts",2022,18,"M",3.81,1226,"GRADUATED"
"STU0100","Business",2022,17,"F",4,1304,"GRADUATED"
"STU0101","Business",2022,18,"M",3.68,1022,"GRADUATED"
"STU0102","Engineering",2022,18,"M",3.2,1101,"GRADUATED"
"STU0103","Engineering",2022,18,"F",3.34,1363,"GRADUATED"
"STU0104","Business",2022,18,"F",3.13,1276,"GRADUATED"
"STU0105","Liberal Arts",2022,18,"F",4,1180,"GRADUATED"
"STU0106","Liberal Arts",2022,18,"M",2.12,1184,"GRADUATED"
"STU0107","Liberal Arts",2022,18,"M",3.33,1313,"GRADUATED"
"STU0108","Liberal Arts",2022,19,"M",3.34,1166,"GRADUATED"
"STU0109","Business",2022,17,"M",3.39,1211,"GRADUATED"
"STU0110","Engineering",2022,18,"F",2.68,953,"GRADUATED"
"STU0111","Business",2022,18,"F",3.39,1466,"GRADUATED"
"STU0112","Liberal Arts",2022,18,"M",3.38,1315,"GRADUATED"
"STU0113","Liberal Arts",2022,17,"F",3.8,1325,"GRADUATED"
"STU0114","Business",2022,18,"F",3.51,914,"WITHDRAWN"
"STU0115","Business",2022,18,"F",3.75,1197,"GRADUATED"
"STU0116","Business",2022,18,"F",2.92,1139,"GRADUATED"
"STU0117","Engineering",2022,18,"F",3.25,994,"GRADUATED"
"STU0118","Business",2022,18,"M",3.38,1309,"GRADUATED"
"STU0119","Business",2022,17,"M",3.41,1385,"DISMISSED"
"STU0120","Liberal Arts",2022,19,"F",3.02,1117,"GRADUATED"
"STU0121","Business",2022,18,"F",3.89,1166,"GRADUATED"
"STU0122","Business",2022,18,"F",3.06,1457,"GRADUATED"
"STU0123","Business",2022,18,"M",2.65,953,"GRADUATED"
"STU0124","Business",2022,18,"M",3.46,1312,"WITHDRAWN"
"STU0125","Liberal Arts",2022,19,"M",3.57,1153,"DISMISSED"
"STU0126","Business",2022,18,"M",3.68,1183,"GRADUATED"
"STU0127","Liberal Arts",2022,19,"M",2.92,1108,"GRADUATED"
"STU0128","Liberal Arts",2022,18,"M",3.2,1365,"WITHDRAWN"
"STU0129","Engineering",2022,17,"M",2.77,1031,"GRADUATED"
"STU0130","Liberal Arts",2022,18,"F",3.64,1344,"GRADUATED"
"STU0131","Liberal Arts",2022,18,"M",3.44,1411,"DISMISSED"
"STU0132","Business",2022,18,"F",3.67,954,"GRADUATED"
"STU0133","Business",2022,18,"M",3.54,1031,"GRADUATED"
"STU0134","Liberal Arts",2022,18,"M",3.06,1289,"DISMISSED"
"STU0135","Liberal Arts",2022,19,"M",3.37,1057,"GRADUATED"
"STU0136","Business",2022,18,"M",2.54,1096,"GRADUATED"
"STU0137","Liberal Arts",2022,17,"F",3.5,1133,"GRADUATED"
"STU0138","Engineering",2022,17,"F",3.69,1148,"GRADUATED"
"STU0139","Liberal Arts",2022,18,"F",2.95,1306,"GRADUATED"
"STU0140","Business",2022,18,"F",2.45,1110,"WITHDRAWN"
"STU0141","Engineering",2022,18,"M",2.69,1213,"DISMISSED"
"STU0142","Engineering",2022,18,"F",2.85,1311,"GRADUATED"
"STU0143","Business",2022,18,"M",3.8,969,"GRADUATED"
"STU0144","Liberal Arts",2022,17,"M",3.3,1097,"GRADUATED"
"STU0145","Liberal Arts",2022,18,"F",2.8,1329,"GRADUATED"
"STU0146","Liberal Arts",2022,18,"M",3.52,1144,"GRADUATED"
"STU0147","Engineering",2022,19,"F",2.43,820,"GRADUATED"
"STU0148","Liberal Arts",2022,17,"F",3.2,1071,"GRADUATED"
"STU0149","Engineering",2022,18,"M",3.75,1322,"GRADUATED"
"STU0150","Engineering",2022,19,"M",3.16,1136,"WITHDRAWN"
"STU0151","Liberal Arts",2022,18,"F",3.82,1139,"GRADUATED"
"STU0152","Engineering",2022,18,"M",4,1178,"GRADUATED"
"STU0153","Liberal Arts",2022,18,"F",2.83,1308,"GRADUATED"
"STU0154","Business",2022,17,"F",2.84,1126,"GRADUATED"
"STU0155","Business",2022,18,"M",2.93,1271,"WITHDRAWN"
"STU0156","Liberal Arts",2022,19,"F",3.51,1286,"WITHDRAWN"
"STU0157","Engineering",2022,18,"F",3.63,1047,"GRADUATED"
"STU0158","Engineering",2022,18,"F",3.78,1191,"GRADUATED"
"STU0159","Engineering",2022,18,"M",3.82,1119,"GRADUATED"
"STU0160","Business",2022,17,"F",3.73,1263,"GRADUATED"
"STU0161","Liberal Arts",2022,17,"F",3.68,974,"GRADUATED"
"STU0162","Business",2022,17,"M",3.37,1431,"GRADUATED"
"STU0163","Business",2022,18,"F",2.94,1402,"GRADUATED"
"STU0164","Engineering",2022,18,"F",3.01,1074,"WITHDRAWN"
"STU0165","Business",2022,18,"M",3.46,1100,"GRADUATED"
"STU0166","Engineering",2022,18,"F",3.97,1064,"GRADUATED"
"STU0167","Business",2022,19,"F",3.98,1180,"GRADUATED"
"STU0168","Engineering",2022,17,"F",2.53,1125,"GRADUATED"
"STU0169","Engineering",2022,18,"M",2.97,1217,"GRADUATED"
"STU0170","Engineering",2022,18,"F",3.87,919,"GRADUATED"
"STU0171","Liberal Arts",2022,19,"F",2.87,1224,"DISMISSED"
"STU0172","Business",2022,18,"M",2.65,1202,"DISMISSED"
"STU0173","Business",2022,19,"F",3.54,960,"DISMISSED"
"STU0174","Business",2022,17,"F",3.99,1241,"WITHDRAWN"
"STU0175","Business",2022,19,"F",4,1208,"GRADUATED"
"STU0176","Engineering",2022,18,"F",3.51,1165,"WITHDRAWN"
"STU0177","Liberal Arts",2022,18,"F",3.59,1198,"GRADUATED"
"STU0178","Business",2022,17,"F",3.52,1258,"GRADUATED"
"STU0179","Liberal Arts",2022,18,"F",3.29,1252,"GRADUATED"
"STU0180","Liberal Arts",2022,19,"M",2,1135,"GRADUATED"
"STU0181","Liberal Arts",2022,19,"F",3.6,1373,"WITHDRAWN"
"STU0182","Liberal Arts",2022,17,"M",3.14,1195,"GRADUATED"
"STU0183","Engineering",2022,18,"F",3.7,1180,"GRADUATED"
"STU0184","Engineering",2022,19,"F",3.05,1342,"GRADUATED"
"STU0185","Liberal Arts",2022,18,"M",2.65,1349,"WITHDRAWN"
"STU0186","Liberal Arts",2022,18,"F",3.8,1095,"GRADUATED"
"STU0187","Liberal Arts",2022,18,"F",3.37,1051,"GRADUATED"
"STU0188","Liberal Arts",2022,18,"M",4,1094,"GRADUATED"
"STU0189","Engineering",2022,19,"F",3.67,1024,"GRADUATED"
"STU0190","Engineering",2022,18,"F",3.72,933,"WITHDRAWN"
"STU0191","Engineering",2022,18,"F",3.61,1247,"GRADUATED"
"STU0192","Liberal Arts",2022,18,"M",3.06,1178,"GRADUATED"
"STU0193","Engineering",2022,18,"F",3.15,1296,"DISMISSED"
"STU0194","Engineering",2022,18,"M",3.72,1200,"GRADUATED"
"STU0195","Engineering",2022,18,"F",3.72,1261,"GRADUATED"
"STU0196","Engineering",2022,19,"M",3.53,1126,"GRADUATED"
"STU0197","Business",2022,18,"F",2.91,1056,"DISMISSED"
"STU0198","Engineering",2022,18,"F",3.97,1317,"GRADUATED"
"STU0199","Liberal Arts",2022,18,"M",2.75,1314,"GRADUATED"
"STU0200","Liberal Arts",2022,19,"F",3.13,940,"GRADUATED"
"STU0201","Liberal Arts",2022,19,"M",4,1332,"GRADUATED"
"STU0202","Business",2022,17,"F",3.51,934,"GRADUATED"
"STU0203","Liberal Arts",2022,18,"M",3.69,1193,"GRADUATED"
"STU0204","Business",2022,18,"F",3.45,1141,"GRADUATED"
"STU0205","Engineering",2022,18,"F",2.9,1181,"DISMISSED"
"STU0206","Business",2022,17,"F",3.06,1364,"GRADUATED"
"STU0207","Liberal Arts",2022,18,"F",3.37,1012,"GRADUATED"
"STU0208","Business",2022,18,"M",2.13,1160,"GRADUATED"
"STU0209","Engineering",2022,19,"F",2.96,1583,"GRADUATED"
"STU0210","Engineering",2022,17,"F",3.62,978,"GRADUATED"
"STU0211","Business",2022,18,"F",3.18,1106,"GRADUATED"
"STU0212","Business",2022,18,"F",3.19,1194,"GRADUATED"
"STU0213","Engineering",2022,17,"F",3.65,1230,"WITHDRAWN"
"STU0214","Engineering",2022,18,"F",3.08,1120,"WITHDRAWN"
"STU0215","Business",2022,18,"F",3.55,1160,"WITHDRAWN"
"STU0216","Liberal Arts",2022,18,"F",2.73,1363,"GRADUATED"
"STU0217","Business",2022,17,"M",2.81,1173,"GRADUATED"
"STU0218","Business",2022,18,"F",2.63,1238,"GRADUATED"
"STU0219","Business",2022,18,"F",3.33,1255,"GRADUATED"
"STU0220","Liberal Arts",2022,19,"M",3.22,1261,"GRADUATED"
"STU0221","Business",2022,18,"F",3.88,1274,"GRADUATED"
"STU0222","Engineering",2022,17,"F",3.28,1208,"GRADUATED"
"STU0223","Business",2022,18,"M",3.84,1094,"GRADUATED"
"STU0224","Liberal Arts",2022,18,"M",4,1191,"WITHDRAWN"
"STU0225","Engineering",2022,19,"F",3.1,1055,"GRADUATED"
"STU0226","Liberal Arts",2022,18,"M",3.46,1214,"GRADUATED"
"STU0227","Engineering",2022,18,"F",2.96,1148,"GRADUATED"
"STU0228","Engineering",2022,18,"F",3.6,1182,"WITHDRAWN"
"STU0229","Engineering",2022,18,"M",2.87,1035,"GRADUATED"
"STU0230","Engineering",2022,18,"M",2.89,1158,"GRADUATED"
"STU0231","Business",2022,19,"F",3.42,1037,"GRADUATED"
"STU0232","Engineering",2022,18,"M",3.34,1139,"GRADUATED"
"STU0233","Engineering",2022,18,"M",3.41,1279,"WITHDRAWN"
"STU0234","Engineering",2022,17,"M",3.33,1236,"GRADUATED"
"STU0235","Liberal Arts",2022,18,"F",3.09,1335,"GRADUATED"
"STU0236","Liberal Arts",2022,19,"M",3.25,1273,"DISMISSED"
"STU0237","Engineering",2022,17,"F",3.95,1217,"GRADUATED"
"STU0238","Liberal Arts",2022,18,"M",3.29,1350,"GRADUATED"
"STU0239","Business",2022,17,"F",2.77,1379,"GRADUATED"
"STU0240","Business",2022,19,"F",2.96,990,"GRADUATED"
"STU0241","Engineering",2022,19,"M",2.86,1334,"GRADUATED"
"STU0242","Business",2022,18,"F",2.94,1317,"GRADUATED"
"STU0243","Engineering",2022,19,"M",2.8,1341,"GRADUATED"
"STU0244","Engineering",2022,17,"M",2.25,1064,"GRADUATED"
"STU0245","Business",2022,19,"F",3.57,1561,"GRADUATED"
"STU0246","Business",2022,18,"M",3.56,811,"GRADUATED"
"STU0247","Engineering",2022,18,"M",3.2,1201,"GRADUATED"
"STU0248","Engineering",2022,18,"M",3.01,1218,"GRADUATED"
"STU0249","Business",2022,18,"M",2.98,1178,"GRADUATED"
"STU0250","Liberal Arts",2022,18,"M",3.46,1312,"GRADUATED"
"STU0251","Engineering",2022,17,"M",3.39,1219,"WITHDRAWN"
"STU0252","Engineering",2022,18,"M",3.47,1083,"GRADUATED"
"STU0253","Engineering",2022,18,"M",3.3,1412,"GRADUATED"
"STU0254","Business",2022,18,"F",3.55,1156,"GRADUATED"
"STU0255","Engineering",2022,18,"F",3.47,1292,"WITHDRAWN"
"STU0256","Liberal Arts",2022,18,"M",3.52,1100,"GRADUATED"
"STU0257","Engineering",2022,19,"F",3.5,1041,"GRADUATED"
"STU0258","Business",2022,18,"F",3.96,1109,"GRADUATED"
"STU0259","Business",2022,20,"F",2.88,1041,"GRADUATED"
"STU0260","Business",2022,18,"F",3.9,1280,"GRADUATED"
"STU0261","Liberal Arts",2022,18,"M",3.17,967,"GRADUATED"
"STU0262","Engineering",2022,19,"M",3.27,1053,"GRADUATED"
"STU0263","Engineering",2022,18,"F",3.33,1204,"GRADUATED"
"STU0264","Liberal Arts",2022,17,"F",3.12,943,"GRADUATED"
"STU0265","Business",2022,17,"M",2.28,1124,"DISMISSED"
"STU0266","Engineering",2022,18,"M",3.17,1154,"DISMISSED"
"STU0267","Liberal Arts",2022,19,"F",3.32,1402,"GRADUATED"
"STU0268","Engineering",2022,18,"F",2.6,1161,"DISMISSED"
"STU0269","Liberal Arts",2022,17,"F",3.52,1122,"GRADUATED"
"STU0270","Liberal Arts",2022,18,"F",3.06,1101,"GRADUATED"
"STU0271","Engineering",2022,18,"M",3.88,1267,"GRADUATED"
"STU0272","Liberal Arts",2022,17,"F",3.41,1152,"GRADUATED"
"STU0273","Business",2022,18,"F",2.98,1118,"GRADUATED"
"STU0274","Engineering",2022,17,"M",3.37,1158,"WITHDRAWN"
"STU0275","Liberal Arts",2022,18,"F",3.4,1360,"GRADUATED"
"STU0276","Engineering",2022,18,"F",3.66,1435,"GRADUATED"
"STU0277","Engineering",2022,18,"M",3.24,1104,"GRADUATED"
"STU0278","Business",2022,18,"F",2.49,1203,"GRADUATED"
"STU0279","Business",2022,18,"F",2.78,1151,"GRADUATED"
"STU0280","Business",2022,18,"M",2.96,1479,"GRADUATED"
"STU0281","Business",2022,18,"F",3.47,1289,"WITHDRAWN"
"STU0282","Engineering",2022,17,"M",3.19,933,"GRADUATED"
"STU0283","Engineering",2022,17,"M",3.05,1135,"GRADUATED"
"STU0284","Liberal Arts",2022,17,"F",2.96,856,"GRADUATED"
"STU0285","Engineering",2022,18,"F",3.36,1186,"WITHDRAWN"
"STU0286","Engineering",2022,18,"M",2.96,1306,"GRADUATED"
"STU0287","Business",2022,18,"F",3.14,1066,"DISMISSED"
"STU0288","Engineering",2022,17,"M",2.92,1008,"GRADUATED"
"STU0289","Engineering",2022,18,"F",2.74,1388,"GRADUATED"
"STU0290","Engineering",2022,18,"M",3.68,1055,"GRADUATED"
"STU0291","Liberal Arts",2022,18,"M",2.77,1336,"GRADUATED"
"STU0292","Liberal Arts",2022,18,"F",3.33,1232,"GRADUATED"
"STU0293","Engineering",2022,18,"F",3.07,1332,"GRADUATED"
"STU0294","Business",2022,19,"F",2.88,1350,"GRADUATED"
"STU0295","Engineering",2022,18,"F",3.4,1371,"GRADUATED"
"STU0296","Engineering",2022,18,"M",3.45,1385,"GRADUATED"
"STU0297","Liberal Arts",2022,19,"M",3.81,1244,"GRADUATED"
"STU0298","Business",2022,17,"M",3.43,1226,"GRADUATED"
"STU0299","Engineering",2022,18,"F",3.24,1057,"DISMISSED"
"STU0300","Engineering",2022,18,"F",4,1018,"WITHDRAWN"
"STU0301","Business",2022,19,"F",3.04,1110,"GRADUATED"
"STU0302","Business",2022,19,"M",2.9,1180,"GRADUATED"
"STU0303","Engineering",2022,18,"F",3.09,1052,"GRADUATED"
"STU0304","Engineering",2022,18,"M",3.26,1325,"GRADUATED"
"STU0305","Liberal Arts",2022,18,"F",3.54,1081,"GRADUATED"
"STU0306","Liberal Arts",2022,18,"M",3.47,1251,"GRADUATED"
"STU0307","Business",2022,17,"M",3.26,1331,"GRADUATED"
"STU0308","Engineering",2022,17,"F",2.96,1023,"GRADUATED"
"STU0309","Engineering",2022,17,"F",3.75,1353,"GRADUATED"
"STU0310","Engineering",2022,19,"F",3.67,884,"GRADUATED"
"STU0311","Engineering",2022,19,"M",3.01,1234,"GRADUATED"
"STU0312","Liberal Arts",2022,18,"F",3.57,1427,"DISMISSED"
"STU0313","Business",2022,17,"M",3.48,1283,"GRADUATED"
"STU0314","Engineering",2022,18,"F",3.72,1337,"GRADUATED"
"STU0315","Engineering",2022,19,"M",3.36,1117,"GRADUATED"
"STU0316","Liberal Arts",2022,19,"F",2.84,1245,"GRADUATED"
"STU0317","Engineering",2022,17,"M",3.62,1366,"GRADUATED"
"STU0318","Business",2022,18,"F",3.01,1001,"DISMISSED"
"STU0319","Liberal Arts",2022,19,"M",3.51,1350,"WITHDRAWN"
"STU0320","Liberal Arts",2022,18,"M",3.97,989,"GRADUATED"
"STU0321","Business",2022,19,"M",2.73,1125,"GRADUATED"
"STU0322","Business",2022,18,"F",3.92,1593,"GRADUATED"
"STU0323","Engineering",2022,18,"F",3.84,1277,"GRADUATED"
"STU0324","Engineering",2022,18,"M",3.09,1186,"DISMISSED"
"STU0325","Business",2022,20,"F",3.2,1347,"GRADUATED"
"STU0326","Liberal Arts",2022,19,"F",3.03,1163,"GRADUATED"
"STU0327","Business",2022,17,"M",3.07,1293,"GRADUATED"
"STU0328","Liberal Arts",2022,18,"M",3.53,1148,"GRADUATED"
"STU0329","Liberal Arts",2022,18,"M",2.94,847,"GRADUATED"
"STU0330","Liberal Arts",2022,17,"M",3.22,1271,"GRADUATED"
"STU0331","Liberal Arts",2022,17,"F",3.24,1123,"DISMISSED"
"STU0332","Engineering",2022,17,"M",3.26,1114,"GRADUATED"
"STU0333","Engineering",2022,18,"F",3.37,1201,"GRADUATED"
"STU0334","Business",2022,19,"M",3.94,1401,"GRADUATED"
"STU0335","Business",2022,18,"F",3.12,1244,"DISMISSED"
"STU0336","Business",2022,18,"M",2.98,1326,"GRADUATED"
"STU0337","Business",2022,18,"F",3.62,1294,"DISMISSED"
"STU0338","Engineering",2022,18,"F",3.45,1215,"GRADUATED"
"STU0339","Liberal Arts",2022,19,"M",3.39,1301,"GRADUATED"
"STU0340","Engineering",2022,17,"M",3.54,1179,"GRADUATED"
"STU0341","Business",2022,18,"M",2.74,1013,"DISMISSED"
"STU0342","Engineering",2022,18,"M",3.73,1252,"GRADUATED"
"STU0343","Liberal Arts",2022,18,"F",3.48,858,"GRADUATED"
"STU0344","Business",2022,19,"F",3.68,1052,"GRADUATED"
"STU0345","Engineering",2022,18,"F",3.06,1191,"DISMISSED"
"STU0346","Engineering",2022,19,"M",2.56,1176,"WITHDRAWN"
"STU0347","Liberal Arts",2022,18,"F",3.11,1137,"GRADUATED"
"STU0348","Business",2022,18,"M",2.94,1348,"GRADUATED"
"STU0349","Liberal Arts",2022,18,"M",4,1040,"GRADUATED"
"STU0350","Liberal Arts",2022,19,"M",3.13,808,"GRADUATED"
"STU0351","Business",2022,17,"F",3.21,1317,"GRADUATED"
"STU0352","Business",2022,18,"M",3.73,1207,"GRADUATED"
"STU0353","Engineering",2022,18,"M",3.55,1184,"GRADUATED"
"STU0354","Engineering",2022,19,"F",3.57,1141,"GRADUATED"
"STU0355","Liberal Arts",2022,18,"M",4,947,"GRADUATED"
"STU0356","Business",2022,18,"M",3.37,1057,"DISMISSED"
"STU0357","Business",2022,19,"F",4,1276,"GRADUATED"
"STU0358","Liberal Arts",2022,17,"F",3.4,1203,"GRADUATED"
"STU0359","Business",2022,19,"F",2.72,987,"GRADUATED"
"STU0360","Business",2022,17,"M",2.41,1290,"GRADUATED"
"STU0361","Business",2022,18,"F",3.56,1318,"GRADUATED"
"STU0362","Business",2022,18,"M",2.9,1180,"WITHDRAWN"
"STU0363","Engineering",2022,19,"M",3.32,1198,"GRADUATED"
"STU0364","Liberal Arts",2022,18,"F",4,1411,"GRADUATED"
"STU0365","Business",2022,17,"F",3.44,1259,"GRADUATED"
"STU0366","Business",2022,17,"M",3.19,1383,"GRADUATED"
"STU0367","Business",2022,18,"F",2.53,1193,"GRADUATED"
"STU0368","Liberal Arts",2022,18,"M",2.98,1422,"GRADUATED"
"STU0369","Business",2022,18,"M",3.07,1189,"GRADUATED"
"STU0370","Engineering",2022,18,"F",3.57,1338,"GRADUATED"
"STU0371","Engineering",2022,18,"F",3.49,1148,"GRADUATED"
"STU0372","Engineering",2022,18,"M",3.31,1038,"GRADUATED"
"STU0373","Liberal Arts",2022,17,"F",3.37,1350,"GRADUATED"
"STU0374","Engineering",2022,17,"F",3.18,1544,"GRADUATED"
"STU0375","Liberal Arts",2022,18,"M",3.31,1151,"GRADUATED"
"STU0376","Liberal Arts",2022,19,"M",3.41,1420,"GRADUATED"
"STU0377","Engineering",2022,19,"F",3.48,1164,"WITHDRAWN"
"STU0378","Engineering",2022,18,"F",4,1339,"GRADUATED"
"STU0379","Engineering",2022,18,"M",2.86,1052,"DISMISSED"
"STU0380","Liberal Arts",2022,19,"F",3.89,1241,"GRADUATED"
"STU0381","Business",2022,18,"M",3.57,1085,"DISMISSED"
"STU0382","Business",2022,18,"F",2.68,997,"GRADUATED"
"STU0383","Business",2022,17,"M",3.19,1298,"GRADUATED"
"STU0384","Engineering",2022,17,"F",3.05,1441,"DISMISSED"
"STU0385","Business",2022,18,"M",2.93,1082,"GRADUATED"
"STU0386","Liberal Arts",2022,17,"F",2.68,1067,"GRADUATED"
"STU0387","Engineering",2022,19,"F",3.1,1039,"WITHDRAWN"
"STU0388","Liberal Arts",2022,17,"F",3.13,1131,"GRADUATED"
"STU0389","Engineering",2022,18,"F",3.17,1300,"WITHDRAWN"
"STU0390","Engineering",2022,18,"F",2.48,1307,"GRADUATED"
"STU0391","Liberal Arts",2022,18,"F",3.48,1266,"GRADUATED"
"STU0392","Business",2022,18,"M",3.6,1314,"GRADUATED"
"STU0393","Business",2022,18,"F",3.62,1130,"GRADUATED"
